items,quantities,unit_utilities
vinegar|cake|ice_cream|toilet_paper,2.8|3.7|3.5|2.2,3.84|5.74|6.93|4.23
beef|salmon|apple|turkey|banana|pork|tuna|ham,1.1|3.7|2.5|4.6|3.9|4.8|3.1|4.1,12.57|12.62|3.23|10.02|1.02|9.45|10.45|7.56
carrot|dinner|water|yogurt|beef|juice|wine,4.6|4.0|1.0|4.4|2.4|1.2|1.6,3.47|9.19|1.53|7.2|8.42|3.02|10.56
paper_towels|pretzels|soap|chicken|dessert|cream|vegetables,4.1|4.5|4.2|3.4|3.5|1.7|3.5,6.21|6.55|6.63|13.77|6.71|4.5|9.11
muffin|beer|orange|ham|tea,2.3|3.5|4.2|3.7|2.2,3.02|7.7|3.29|6.61|7.35
chips|cookies|salami|apple,1.8|3.7|3.3|3.0,4.71|3.86|4.95|1.65
water|cookies|beer|vinegar|ham|coffee,4.1|2.6|4.4|2.0|1.0|3.0,9.89|5.2|2.64|6.07|8.03|5.31
muffin|pasta|pizza|sugar|toilet_paper,5.0|4.1|2.1|1.4|1.9,1.66|6.81|6.04|5.36|10.9
rice|coffee|orange|pork|candy|cake|banana,3.7|3.8|3.9|3.7|4.3|2.4|2.4,2.72|10.51|2.23|9.25|3.45|4.87|2.29
beer|bagel|cereal|turkey|turkey_slices,2.2|4.2|4.6|1.5|3.1,5.16|2.32|2.17|8.31|5.89
tomato|cookies|soda|bread|beer|butter,4.4|4.7|1.5|1.2|2.8|2.1,2.37|1.71|10.74|3.62|11.39|3.45
shampoo|vinegar|ice_cream|chocolate|banana|pizza|rice,4.6|3.5|2.6|3.9|1.9|3.3|5.0,8.84|1.86|6.31|4.93|3.63|6.87|5.26
cream|toothpaste|dessert|detergent|lettuce|crackers|pizza,2.3|4.2|1.6|4.1|1.8|3.1|2.7,5.38|3.78|7.35|3.76|2.73|6.25|6.38
hummus|olives|bagel|pork|chocolate|dinner|pizza|water,2.1|2.4|5.0|1.9|5.0|2.3|1.2|3.8,5.09|4.18|5.51|6.25|2.11|9.57|4.95|11.76
dessert|pasta|salmon|soap|turkey|flour|ice_cream,2.6|3.7|1.2|2.1|2.8|3.6|1.7,9.5|3.46|5.14|9.27|7.69|7.37|4.11
cream|sugar|apple|chicken,1.8|2.8|3.6|1.6,6.94|4.31|3.99|11.18
beef|cheese|carrot|chicken|lettuce|shampoo|tomato,2.4|3.2|4.4|4.4|4.1|2.3|3.2,8.0|5.64|3.8|9.82|1.29|3.73|2.33
butter|pretzels|chips|salami,2.8|1.3|1.8|1.5,7.43|4.92|3.25|6.18
sugar|bagel|tuna|beer|vinegar|orange,2.2|4.9|3.2|4.6|1.5|2.8,3.23|4.6|9.57|5.88|6.82|3.28
cookies|rice|beef|chicken|salt|water,3.5|4.8|2.4|2.2|4.1|1.2,4.9|4.05|11.47|6.05|7.12|3.57
turkey_slices|candy|sugar|milk,2.2|2.5|4.4|3.5,9.92|3.66|7.29|3.17
onion|candy|hummus|chips|cheese,1.7|1.2|4.3|4.5|3.5,1.17|6.78|4.95|4.97|5.78
tuna|pasta|berries|turkey|sugar,1.6|2.6|1.5|2.0|4.1,5.36|5.83|5.42|9.42|5.04
orange|yogurt|carrot|vinegar|pizza,4.0|1.1|2.4|2.1|1.2,3.27|4.06|2.89|6.34|3.13
milk|candy|yogurt|nuts|wine|olives|chicken,4.9|1.3|4.5|1.0|2.9|2.7|3.7,7.49|4.27|5.46|2.98|5.81|4.94|12.23
juice|rice|carrot|tomato|lettuce|salt|beer,2.5|1.2|4.2|3.8|4.0|2.8|4.1,2.32|2.25|3.15|2.97|2.9|1.56|8.43
dessert|turkey_slices|carrot|pork|chips|lettuce|cheese,1.9|2.1|3.8|2.7|4.6|1.3|3.7,7.8|7.87|2.75|8.44|5.37|2.78|5.04
vinegar|cereal|toilet_paper|water|crackers|detergent,3.6|1.1|4.8|2.8|1.8|4.2,2.75|5.99|9.35|5.43|5.37|5.38
butter|bagel|ice_cream|croissant|flour|cookies,4.5|2.7|2.1|1.2|2.3|3.2,2.35|3.56|4.86|4.32|7.7|4.2
chocolate|cookies|berries|oil,3.7|1.8|1.5|1.6,4.91|1.74|6.87|2.45
pizza|cereal|yogurt|water|pretzels,3.1|1.7|3.6|4.7|3.8,4.88|6.8|7.99|7.43|6.35
yogurt|salami|onion|pork|olives|muffin|toilet_paper,4.2|1.8|2.2|3.4|4.8|4.0|3.1,3.41|7.47|1.6|7.74|4.24|3.77|11.01
chocolate|juice|pizza|tuna|crackers|hummus,1.9|4.3|2.1|2.1|3.1|1.7,4.54|9.36|9.76|14.74|4.88|4.19
detergent|muffin|juice|cream|wine,4.3|4.9|1.5|3.0|4.0,5.78|2.03|8.24|6.34|3.71
banana|vinegar|detergent|cookies|turkey,4.6|3.2|4.0|3.1|4.9,1.35|5.94|6.51|5.49|10.29
yogurt|onion|cereal|cake|candy|chips,3.8|2.8|1.6|1.3|4.3|2.8,5.89|2.21|6.61|2.51|3.2|4.63
berries|milk|wine|ice_cream|carrot|flour|ham|sugar,1.7|2.7|2.3|5.0|2.1|4.0|2.4|3.5,3.97|4.04|5.85|5.1|2.4|2.89|4.54|4.0
banana|turkey|toothpaste|tomato,2.3|1.4|2.0|3.8,3.98|14.46|8.76|1.93
pasta|toothpaste|yogurt|rice|butter,2.8|3.1|2.6|4.5|2.4,7.35|7.73|2.21|2.56|6.46
beer|cookies|chips,1.8|4.1|3.5,9.98|3.8|6.82
soap|crackers|chocolate|beer|bread|apple,1.7|2.2|1.7|1.5|2.5|3.2,7.52|2.6|2.7|11.77|1.5|2.06
nuts|sugar|onion|yogurt,2.5|1.5|4.0|2.2,5.82|2.2|3.48|5.71
soap|coffee|pretzels|detergent,1.4|4.9|4.1|3.2,4.07|10.19|3.44|8.14
chocolate|ice_cream|paper_towels|shampoo|ham,1.3|2.2|1.9|3.9|2.1,4.24|5.79|5.82|9.83|6.46
salt|carrot|croissant|oil|bread|toilet_paper|rice,2.5|1.1|2.5|4.1|4.2|3.4|2.7,6.26|1.22|4.99|7.66|5.05|8.98|2.86
onion|butter|pizza|pork|chips|croissant,2.1|3.8|2.4|4.1|1.0|3.7,2.85|5.42|5.13|13.52|5.95|3.38
vinegar|olives|muffin|nuts|cream|tuna,4.8|4.6|4.2|1.7|4.7|1.7,5.47|8.08|4.7|4.48|6.48|5.52
dinner|shampoo|pork|oil|croissant|cookies,4.8|1.8|3.6|3.3|3.5|2.4,9.78|7.12|12.94|3.16|3.93|4.88
pork|dessert|detergent|yogurt|pretzels,4.2|1.7|1.9|3.5|4.4,7.99|7.27|11.48|6.78|4.09
cream|turkey_slices|turkey,3.9|4.7|2.0,6.57|5.27|6.59
soap|juice|banana|dinner|ice_cream|cereal|tuna,4.5|2.3|2.5|3.0|3.0|2.3|3.8,9.83|9.73|2.98|7.68|2.49|3.39|5.87
dessert|berries|salami|potato|bagel,1.6|1.2|4.5|1.9|2.4,4.41|6.61|4.07|2.59|4.4
toilet_paper|pizza|salami|cereal|butter,4.3|3.7|2.9|3.7|4.1,11.86|8.88|9.33|4.88|2.21
soda|soap|candy|pretzels|cookies|shampoo|beef|tea,3.4|1.1|4.2|2.0|4.4|4.1|3.7|4.1,8.06|11.02|6.88|5.81|4.97|4.76|13.24|4.96
dinner|onion|salami|rice,2.8|3.2|4.4|1.5,6.23|2.43|7.46|2.28
chips|tea|salami|water|carrot|potato|ham|olives,4.8|3.4|4.8|2.6|2.2|2.8|2.1|1.0,3.97|1.54|7.22|8.75|1.45|2.53|7.63|9.38
water|tea|wine|ice_cream,3.4|2.1|4.0|3.3,2.03|10.17|10.63|5.93
orange|salami|ham|lettuce|salmon,2.2|1.1|4.3|1.6|3.9,3.45|6.21|9.72|3.8|8.44
lettuce|juice|toothpaste|cereal|muffin,3.0|4.4|1.5|2.9|1.3,3.45|9.05|9.92|5.25|3.27
soda|oil|salami|pizza|apple|onion|pretzels,1.2|2.8|4.0|1.2|3.9|3.2|1.8,2.33|4.48|9.08|9.73|1.14|1.17|4.36
chicken|water|beer|salmon,1.8|4.4|3.5|4.2,10.78|6.38|5.35|14.21
turkey|soap|pork|orange|tuna|coffee,3.8|4.7|3.3|4.9|1.1|1.7,5.62|6.6|9.0|3.55|6.23|3.1
cream|ham|vegetables|tomato|flour|pork|toothpaste|pretzels,2.3|1.9|2.4|2.5|4.8|3.4|3.8|1.9,2.33|8.06|7.35|1.66|2.97|6.33|5.1|3.32
pasta|pretzels|hummus|salami,3.3|3.1|3.9|2.9,2.16|2.76|5.76|7.27
bagel|toilet_paper|candy|yogurt|chips|vegetables|carrot|rice,2.1|1.7|4.2|3.2|1.4|4.8|4.2|3.1,3.53|6.7|3.65|5.04|2.99|6.23|3.7|3.37
pork|lettuce|carrot|olives|soda|tea|cake|salmon,2.2|4.7|2.3|4.9|3.4|2.1|3.8|2.9,8.47|1.04|2.18|6.62|2.15|9.87|2.84|10.41
cereal|cake|banana|salmon|yogurt,5.0|3.2|1.6|4.2|3.8,2.85|2.54|1.31|11.19|2.61
ham|olives|pasta|hummus|tea,3.7|1.8|1.4|2.3|2.1,9.0|8.95|4.97|9.39|11.96
dessert|lettuce|salmon,2.9|2.8|1.4,6.08|1.76|8.96
berries|pizza|crackers|butter|ice_cream|pretzels,3.6|1.7|2.6|2.1|3.8|4.9,6.92|3.58|4.09|6.34|4.81|2.16
banana|dessert|berries|cheese|ice_cream,1.7|4.5|2.8|3.6|2.8,2.43|8.14|7.26|6.11|4.69
potato|croissant|berries|carrot,2.8|2.2|2.9|3.5,3.54|3.0|9.7|1.29
apple|milk|soda|juice|salt|water|oil|cream,4.7|3.0|4.4|4.7|2.5|2.7|1.8|3.0,2.81|2.51|5.51|5.74|4.98|11.6|5.8|5.84
salt|onion|bread|beef|tuna|cheese,2.9|1.3|4.7|2.2|2.7|1.1,7.25|2.59|2.54|5.4|11.74|3.47
ice_cream|carrot|bread|turkey_slices|paper_towels|shampoo,3.2|4.7|4.3|3.0|4.6|3.2,5.8|2.92|2.06|9.1|3.38|6.77
beef|butter|ice_cream|cream|hummus,3.4|4.3|3.5|3.9|2.2,12.26|3.7|4.32|7.24|6.98
bread|carrot|wine|ham|vegetables,4.0|4.2|3.0|3.4|3.7,3.41|2.53|9.81|6.73|9.61
salt|tea|cheese|flour|cake|cookies|oil,3.4|3.3|1.0|4.1|2.9|2.8|4.0,1.7|10.3|2.66|2.66|5.89|3.35|5.1
nuts|chips|oil|pizza,2.0|1.5|3.1|2.1,4.67|6.79|2.58|3.55
flour|lettuce|onion|croissant|apple|yogurt|vegetables|carrot,3.4|1.5|3.0|4.0|1.6|2.1|3.4|4.4,1.62|3.31|3.02|1.82|2.93|2.85|5.84|1.13
pretzels|orange|turkey|paper_towels|shampoo,3.4|2.6|2.2|2.8|3.4,4.85|1.52|6.28|5.29|3.3
sugar|crackers|nuts|vegetables,4.0|4.6|3.8|4.0,6.38|5.8|3.7|7.43
soap|nuts|sugar|salami|juice|croissant,1.5|1.6|4.3|1.9|4.5|1.6,9.98|2.87|7.38|5.85|1.6|5.55
berries|toilet_paper|beef|vinegar|vegetables|cream|tomato|oil,3.0|2.4|2.0|3.9|2.2|4.4|2.8|4.8,9.6|10.72|6.82|5.69|6.52|4.38|1.05|5.31
chicken|tea|yogurt|carrot|pork|croissant,3.8|3.4|1.5|3.4|1.5|3.7,13.02|11.3|5.29|3.41|14.93|3.99
yogurt|oil|toilet_paper|olives,2.3|2.7|2.0|1.4,2.27|3.27|6.21|8.59
olives|tomato|tea|pork,1.1|2.5|4.9|4.5,7.67|2.86|7.11|11.67
lettuce|sugar|orange|rice|soap|paper_towels|hummus|pretzels,2.6|3.9|3.0|3.5|4.6|4.4|3.8|4.7,3.51|5.82|2.07|6.96|5.2|7.09|9.42|4.98
shampoo|flour|onion|juice|toilet_paper|dinner,3.9|1.7|1.3|2.3|1.4|4.8,7.83|1.54|1.52|9.96|9.6|9.94
carrot|shampoo|chicken|tea,2.3|2.9|4.8|2.2,3.03|8.4|9.05|7.6
cereal|pizza|hummus|cookies|salami|toilet_paper,4.9|2.0|1.5|3.8|2.1|4.1,4.01|7.76|6.22|4.81|7.12|5.41
crackers|salami|beef|pasta|butter|turkey|orange,3.8|1.8|1.9|2.8|2.8|3.4|3.8,5.38|5.2|11.88|3.35|3.93|6.81|3.34
beer|muffin|cereal|cheese,2.4|1.6|2.0|3.0,2.35|4.92|3.29|2.42
bread|butter|cream|banana|ice_cream|turkey,3.7|3.0|4.4|4.8|2.5|2.6,1.7|6.78|3.66|1.31|3.86|7.86
turkey_slices|soap|salami|toothpaste|flour|vegetables|cream|shampoo,4.9|4.6|1.4|3.6|4.2|1.6|2.3|2.1,4.51|6.74|4.34|9.17|5.8|5.56|5.67|7.13
oil|butter|yogurt|salt|beef|milk|cheese,3.6|2.5|2.6|4.2|2.7|1.8|4.0,7.0|4.63|4.56|5.53|8.78|4.78|2.17
pizza|chicken|coffee|apple|cake,4.2|2.5|5.0|1.7|3.8,6.88|8.64|1.52|3.57|2.89
pork|olives|chicken|rice|apple|tea|crackers|turkey_slices,1.2|1.5|4.8|4.4|4.3|4.9|4.1|5.0,13.99|6.48|6.3|5.12|3.93|6.96|2.14|6.04
salmon|banana|milk|juice,2.5|2.3|1.1|4.9,8.08|1.81|3.7|8.41
bread|wine|cheese|pretzels|nuts|olives|oil,4.9|3.4|1.2|3.5|2.6|2.9|4.3,4.19|4.37|3.84|3.72|5.48|5.16|3.8
banana|soda|cheese|water|vinegar|salt|nuts|tuna,4.6|2.4|3.6|2.5|2.2|4.4|4.6|3.3,3.91|8.44|6.39|1.11|2.76|4.06|4.81|5.9
beer|turkey|coffee|tea,2.1|4.7|1.6|2.3,9.96|7.23|10.12|10.34
soda|salmon|soap|turkey|rice|turkey_slices,3.1|2.6|4.7|3.1|3.3|4.0,1.86|5.62|9.23|7.59|3.1|9.34
turkey_slices|onion|lettuce|tea|vinegar|paper_towels|toilet_paper|pretzels,1.3|1.1|2.7|1.4|2.2|3.0|2.4|1.2,8.78|2.73|2.1|9.9|1.59|9.46|9.31|6.37
detergent|beef|ice_cream|bread|cookies|pasta|dinner,3.3|1.3|2.3|2.8|4.4|3.9|4.5,10.69|14.71|2.01|2.81|3.95|6.55|7.63
detergent|juice|toothpaste|lettuce|muffin|shampoo|dessert|pretzels,2.0|2.2|2.2|4.2|3.4|1.3|1.7|2.2,11.4|3.93|6.56|1.04|3.94|7.47|9.96|5.51
berries|ham|rice|tomato|cookies|coffee|salmon,2.6|1.4|3.3|4.3|2.9|3.0|4.9,5.61|9.38|5.24|1.47|4.41|6.2|8.51
juice|ice_cream|rice|soap|coffee|tomato|oil|tea,3.2|3.0|2.2|2.0|2.6|3.1|4.7|1.1,4.06|2.51|7.22|7.87|10.5|3.8|4.51|1.36
chocolate|cheese|yogurt|tuna|onion|coffee|pork,1.9|2.6|4.6|1.1|2.8|3.4|4.6,2.13|4.9|4.46|11.48|3.59|9.96|6.59
salmon|pretzels|chocolate|chips|tuna|chicken,2.3|4.2|2.0|1.6|1.0|2.2,6.92|2.45|5.56|3.99|6.49|12.63
oil|tuna|detergent|bread|muffin|salmon,3.4|4.8|3.9|2.5|4.9|2.6,3.67|10.72|6.68|4.19|4.77|9.55
juice|crackers|onion|turkey|chips,4.3|1.5|4.0|4.6|2.4,7.09|4.64|2.21|14.02|2.76
cookies|flour|candy|juice,3.3|4.6|1.6|4.2,5.03|4.42|3.63|1.12
cookies|onion|beef|salt,2.4|4.9|1.2|2.4,1.9|1.69|10.05|5.72
yogurt|tuna|turkey_slices|juice|apple|dessert|chips,1.5|4.4|3.3|4.8|1.3|1.4|1.3,7.3|6.16|9.73|1.12|1.9|5.36|2.91
pork|sugar|vinegar|potato|butter|ham,3.9|3.1|2.6|2.4|2.3|2.5,7.86|1.54|4.71|2.89|2.49|5.89
oil|flour|paper_towels|banana,1.5|2.6|3.1|3.5,3.06|2.22|3.76|1.31
apple|beef|turkey_slices|berries|chocolate|vinegar,3.5|2.9|3.8|2.0|1.6|3.2,2.32|14.39|7.99|6.31|6.03|1.69
banana|toothpaste|toilet_paper,3.8|2.7|1.4,3.04|11.75|9.81
detergent|turkey_slices|pork|yogurt|cake,2.2|2.7|4.6|2.5|3.9,7.11|6.4|7.11|4.51|5.66
toilet_paper|rice|apple|turkey_slices|pizza|salmon,2.7|2.0|3.8|4.6|4.5|4.9,5.7|5.27|1.14|6.36|3.12|14.35
salmon|yogurt|wine|beef|sugar|nuts|cookies,3.7|3.5|4.5|4.2|1.3|1.6|1.6,9.42|5.27|11.35|7.39|5.44|2.26|3.94
bread|lettuce|butter|vinegar,2.5|1.6|2.4|2.3,2.92|3.28|4.31|2.66
shampoo|butter|chocolate|beer,3.3|1.1|2.0|2.8,7.15|2.24|5.53|1.19
nuts|ice_cream|pretzels|banana,3.6|4.0|4.1|1.0,4.02|6.06|5.26|1.03
vinegar|butter|cake|ham|turkey,3.2|4.7|1.8|2.1|2.8,6.38|4.66|3.79|9.64|10.52
cheese|tuna|lettuce|berries,3.6|3.0|3.0|3.9,3.82|12.29|1.49|7.4
salami|cereal|flour|shampoo|beef|olives,3.8|1.1|3.4|3.9|2.4|3.9,8.26|7.28|7.23|9.65|10.27|6.39
pretzels|paper_towels|lettuce|cream|orange|carrot|rice,4.8|2.7|2.9|1.1|5.0|4.1|2.4,3.45|8.28|1.61|3.44|1.79|2.7|7.43
beer|water|bagel|tea|dessert|turkey_slices|juice|crackers,3.4|3.3|4.7|4.7|2.0|2.3|4.1|1.2,4.22|10.25|5.18|6.78|7.87|7.08|2.79|3.4
chicken|turkey_slices|wine|carrot,2.4|4.7|3.3|4.4,7.62|9.36|8.28|3.87
berries|coffee|beer|sugar|toothpaste|ham|butter|oil,4.2|1.6|4.8|4.7|2.3|1.3|1.9|2.0,6.84|11.96|1.37|7.23|10.18|7.83|4.65|6.25
pretzels|crackers|salami|lettuce|candy,1.9|3.4|2.0|4.6|2.4,2.46|4.27|9.44|1.68|4.65
toilet_paper|potato|cake|tea|salt|oil|apple|wine,4.2|3.6|3.9|1.9|1.1|4.9|3.5|3.3,10.83|3.18|4.0|2.89|7.24|6.5|2.96|6.66
bagel|pasta|chocolate|beef|tuna,3.4|4.7|2.1|4.2|2.6,1.67|1.78|5.08|6.98|9.87
rice|soap|candy|cereal|chocolate|oil|pizza,1.1|4.0|2.6|4.1|4.8|1.1|3.1,7.74|3.19|2.89|4.69|3.83|1.56|6.28
lettuce|bread|ham|tea|cookies|wine|water,2.3|3.5|1.6|4.1|1.9|3.4|1.1,2.37|2.29|9.34|7.08|2.36|8.36|6.19
vegetables|yogurt|beer|pork,2.9|2.2|3.4|2.6,5.2|7.77|2.82|6.94
hummus|cream|ham|vinegar|wine|dinner|cheese,2.4|4.9|2.6|4.9|2.2|1.5|1.3,6.91|7.84|6.56|1.72|3.15|6.02|6.97
orange|chocolate|salmon|pasta|apple|bread,2.5|2.2|4.2|4.6|3.6|4.2,1.21|2.7|7.17|2.45|3.46|5.31
muffin|cereal|ham|milk|turkey|yogurt,1.5|3.5|4.6|2.3|1.7|1.2,2.46|7.39|4.43|6.95|11.61|2.46
bread|soda|pizza|beer|wine|carrot|berries,1.5|3.0|4.7|2.6|2.5|4.7|3.5,5.27|7.21|6.42|4.3|4.28|3.88|8.49
dinner|wine|berries|orange|croissant|water,1.4|2.6|3.4|3.5|4.8|2.4,5.57|8.74|6.14|2.1|3.25|2.28
berries|pretzels|turkey_slices|coffee|cream|chips|vinegar,3.2|1.1|3.6|2.5|4.2|3.1|1.6,8.5|6.34|4.27|1.63|5.77|3.9|7.18
cookies|flour|sugar|wine,1.4|2.7|3.1|1.2,5.34|2.11|3.95|2.5
dinner|oil|vegetables|crackers|flour|detergent|banana|bread,3.3|3.6|4.0|1.0|1.2|4.7|3.3|3.8,3.69|3.89|6.32|2.56|5.92|8.51|2.55|5.11
soap|flour|cookies|ice_cream|butter|yogurt|salt|pizza,3.0|3.0|3.2|1.5|2.0|4.2|3.4|3.6,10.69|5.79|1.89|4.35|5.45|4.43|5.65|6.71
croissant|beef|banana|crackers|orange|pasta,2.0|1.8|1.5|4.8|1.5|1.7,2.57|9.14|4.0|4.61|2.37|3.29
cake|lettuce|nuts|yogurt|candy|bagel|cream,1.0|3.8|3.8|3.7|1.2|3.4|2.0,2.47|2.37|3.92|2.7|6.04|1.51|3.84
candy|yogurt|vinegar|rice|crackers|tea|wine,1.7|1.4|1.3|2.2|4.7|4.0|4.5,3.15|6.42|7.43|2.48|4.67|6.56|1.55
rice|pasta|tuna|turkey|paper_towels,2.0|2.7|2.4|3.9|3.2,4.46|1.65|7.98|12.05|4.23
onion|salami|croissant|toilet_paper|candy|beef,4.7|2.4|1.8|3.6|2.4|4.0,1.9|8.16|1.92|11.25|6.32|8.53
bread|olives|turkey_slices|juice|cake|soda,1.3|3.2|3.2|2.9|2.4|1.8,5.31|8.04|8.71|3.29|4.97|4.63
pizza|candy|salt|sugar|shampoo,3.9|3.0|4.5|4.6|1.9,8.08|6.32|3.54|4.13|8.67
berries|coffee|bread|candy|flour|vinegar|cake|yogurt,1.4|2.7|1.1|2.1|3.4|2.7|4.9|3.2,8.29|3.29|5.8|2.99|1.7|1.93|2.42|4.57
apple|tomato|pizza|beer|cheese,2.3|1.3|2.1|3.3|3.6,2.85|1.54|4.33|9.98|6.88
ice_cream|pasta|salmon|cookies|hummus|dinner|water,4.3|3.3|1.3|3.4|1.4|4.6|1.7,5.86|3.86|14.82|3.78|9.0|7.71|8.63
bagel|ice_cream|pizza|flour|crackers|toilet_paper|candy,4.5|4.0|4.3|2.6|2.4|3.4|2.2,2.03|3.59|3.67|5.44|4.77|11.24|6.33
olives|flour|berries|nuts|beer|dinner,1.0|3.4|2.6|4.1|1.6|1.1,8.25|2.2|4.91|6.63|1.12|9.74
turkey|milk|vegetables|chocolate|beef|dessert|pizza,4.2|2.4|2.2|1.4|4.0|4.8|1.8,9.47|5.32|4.59|4.33|11.02|6.46|7.55
chips|detergent|onion|paper_towels|tuna|shampoo,3.7|3.2|2.3|3.7|1.4|3.7,2.19|11.77|1.04|5.61|6.93|11.9
soda|pizza|toilet_paper|turkey_slices|juice,4.0|2.8|2.0|1.3|3.8,8.42|8.66|9.47|8.42|2.22
milk|wine|oil|muffin,4.9|4.0|1.7|3.6,6.52|2.39|5.78|3.54
detergent|tomato|croissant|toilet_paper|rice,2.8|3.9|2.7|4.7|4.8,10.35|3.79|4.76|5.32|7.61
candy|apple|lettuce|oil|paper_towels|cookies,2.8|2.1|3.5|3.1|1.1|3.7,6.89|2.81|1.91|3.35|6.15|3.2
cheese|crackers|oil|hummus|juice,3.2|2.9|3.8|4.3|3.2,5.15|5.91|5.07|4.51|9.65
tuna|chocolate|wine|paper_towels|pizza|banana|juice,1.5|3.7|4.5|3.4|3.9|3.2|3.1,6.91|6.28|11.06|3.7|4.43|1.58|9.58
pork|toilet_paper|salt|lettuce,4.2|4.6|2.3|5.0,6.48|4.53|7.28|1.9
dessert|dinner|vegetables|chips|tuna|lettuce,4.3|1.3|1.0|3.7|4.0|3.2,8.74|6.22|4.33|4.2|6.66|2.42
nuts|chips|pasta|lettuce|soda|tea|wine,2.8|1.7|4.0|2.1|3.1|2.1|2.7,4.83|3.98|4.67|3.39|1.25|8.22|9.11
butter|berries|bread|dessert|yogurt,4.7|4.7|4.5|2.2|3.0,7.99|8.84|4.46|7.71|3.32
pizza|pasta|salami|oil|apple|hummus,2.3|4.1|1.2|3.0|2.3|4.7,5.93|3.66|5.5|2.64|2.1|9.76
tomato|dessert|flour|tuna|ham|pasta|crackers,4.5|1.8|2.8|3.6|1.6|3.2|3.1,1.02|4.6|2.54|11.72|8.36|2.37|6.04
cheese|yogurt|ham,1.8|4.1|2.6,5.61|7.76|4.81
water|crackers|soap|detergent|rice,1.1|3.0|3.7|1.2|4.7,7.4|5.78|4.65|5.19|7.62
butter|dessert|vinegar|orange|toothpaste,2.0|1.4|1.3|2.1|2.9,6.67|5.7|1.64|1.02|3.99
muffin|vinegar|coffee|soap|paper_towels,2.6|3.9|4.5|3.2|2.0,4.84|4.13|2.45|5.2|7.86
bagel|apple|salami|milk|chicken|hummus|croissant,1.3|4.2|1.7|3.2|2.3|5.0|1.5,4.63|3.43|9.37|2.82|9.24|8.79|3.71
vinegar|carrot|toothpaste|bagel|tea|pork|flour,2.6|1.6|3.0|4.7|1.5|4.7|1.3,6.41|3.87|3.8|3.58|10.66|10.07|5.89
milk|ham|tuna|detergent,4.1|3.9|3.6|3.8,2.34|5.31|13.3|7.58
soda|nuts|yogurt|candy|tomato,2.2|3.7|4.3|2.2|4.3,7.07|6.9|5.74|2.04|2.78
vinegar|orange|water|cake|chocolate,1.6|4.0|3.1|1.0|3.6,3.16|2.5|1.29|2.61|3.79
salt|pasta|cereal|beer|berries|oil,4.2|2.0|4.1|3.6|3.5|4.1,6.09|7.18|5.09|6.43|6.24|1.57
cereal|rice|ice_cream|pretzels|onion|tuna|dinner,2.2|1.6|4.4|3.7|4.3|1.2|2.4,6.0|7.91|2.58|5.01|1.36|9.66|4.13
soda|rice|vinegar|turkey_slices|yogurt,3.4|3.9|1.1|3.6|2.7,7.16|4.56|5.63|5.29|5.85
potato|sugar|ice_cream,3.8|3.3|1.4,3.12|1.94|2.89
chips|onion|soap|beer,3.4|3.5|4.4|4.6,3.03|2.99|8.03|7.41
bread|wine|cream|salt|ham|croissant|tea,3.2|1.3|3.5|1.6|3.7|3.7|4.7,4.7|3.86|3.08|4.63|9.97|4.34|6.73
chips|ham|crackers|rice|dinner|wine|turkey_slices,1.9|2.6|4.6|3.0|3.0|3.0|2.0,4.99|8.74|2.23|7.95|4.98|10.69|4.87
butter|dinner|water|pizza|lettuce,2.6|3.0|4.3|1.1|2.6,4.94|3.16|7.33|3.01|2.73
hummus|bread|beer|orange,3.2|4.9|1.2|2.9,6.37|2.09|5.4|3.66
flour|hummus|chips|cookies|butter|water|potato,3.9|3.3|1.5|2.2|3.8|1.9|2.4,2.99|9.71|5.92|5.33|7.48|9.59|3.96
beer|turkey|chocolate,1.9|1.6|2.2,4.82|5.37|4.22
toilet_paper|orange|crackers|pizza|butter,3.5|4.4|4.4|1.5|4.9,7.27|1.15|3.09|4.95|6.46
beef|ham|onion|hummus|vinegar,3.9|2.8|2.2|4.6|1.9,8.88|4.53|2.33|5.33|7.31
cake|detergent|turkey_slices|milk|cream|beef,3.1|3.4|4.2|2.1|1.3|2.1,2.3|7.14|9.44|3.28|5.76|8.7
milk|vinegar|shampoo|croissant|toothpaste|ice_cream,1.7|3.6|4.4|3.6|3.4|3.3,5.28|7.56|9.47|5.81|7.22|4.97
water|olives|turkey|sugar|cream|vinegar,2.2|2.5|1.4|3.4|1.7|2.4,3.61|4.38|13.94|6.63|4.54|6.22
chicken|tea|bread|pizza|chips,2.2|3.1|2.2|2.5|3.5,14.22|11.53|5.12|3.08|5.67
bread|berries|cheese|toothpaste|nuts|onion|cake,4.7|2.8|4.1|2.5|4.7|1.9|4.3,4.54|4.11|5.64|9.55|2.97|3.11|4.01
croissant|salami|turkey,4.2|1.4|4.5,2.88|6.07|10.69
banana|butter|juice|cream|vinegar|pasta,3.2|3.4|5.0|3.7|3.6|4.8,3.15|5.91|5.53|6.77|3.7|6.75
olives|candy|beef|croissant,2.2|1.9|2.7|3.0,4.85|4.14|11.29|3.5
tea|apple|salami|pretzels|hummus,1.3|4.1|2.4|4.9|1.6,9.91|2.52|6.76|5.63|6.62
onion|cream|wine|salmon|orange|oil|salt,1.1|3.8|3.7|4.2|2.3|2.4|3.6,3.98|4.52|2.08|8.01|1.32|3.36|4.08
